Unbounded DC: -7.682 | DC: 0.000 | Now: 01.37 | Ref: 02.10 | Error: -0.10 | Integral: -61.35 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.753 | DC: 0.000 | Now: 01.37 | Ref: 02.10 | Error: -0.10 | Integral: -61.92 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.823 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -62.48 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.893 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -63.04 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.963 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -63.60 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.034 | DC: 0.000 | Now: 01.37 | Ref: 02.10 | Error: -0.10 | Integral: -64.17 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.104 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -64.73 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.174 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -65.29 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.245 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -65.85 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.315 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -66.41 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.385 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -66.98 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.455 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -67.54 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.525 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -68.10 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.595 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -68.66 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.666 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -69.22 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.736 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -69.78 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.806 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -70.34 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.876 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -70.91 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -8.946 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -71.47 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -9.017 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -72.03 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -9.087 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -72.59 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -9.157 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -73.16 | dt: 05.48 |  p_: 00.13 | i_: 00.13
